Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime
13/03/2004,07:00:00,-200.0,1112.0,47.0,,770.0,139.0,1228.0,77.0,1409.0,940.0,-200.0,-200.0,-200.0,2004-03-13 07:00:00
13/03/2004,08:00:00,-200.0,1336.0,132.0,,1043.0,256.0,935.0,96.0,1678.0,1192.0,-200.0,-200.0,-200.0,2004-03-13 08:00:00
13/03/2004,09:00:00,-200.0,1408.0,239.0,,1153.0,295.0,830.0,119.0,1777.0,1411.0,-200.0,-200.0,-200.0,2004-03-13 09:00:00
13/03/2004,10:00:00,-200.0,1447.0,160.0,,1081.0,250.0,869.0,126.0,1667.0,1465.0,-200.0,-200.0,-200.0,2004-03-13 10:00:00
13/03/2004,11:00:00,-200.0,1542.0,283.0,,1184.0,296.0,808.0,158.0,1780.0,1583.0,-200.0,-200.0,-200.0,2004-03-13 11:00:00
13/03/2004,12:00:00,-200.0,1451.0,210.0,,1117.0,239.0,875.0,161.0,1679.0,1387.0,-200.0,-200.0,-200.0,2004-03-13 12:00:00
13/03/2004,13:00:00,-200.0,1328.0,154.0,,1059.0,153.0,987.0,124.0,1600.0,1101.0,-200.0,-200.0,-200.0,2004-03-13 13:00:00
13/03/2004,14:00:00,2.0,1207.0,112.0,,924.0,118.0,1088.0,102.0,1488.0,850.0,-200.0,-200.0,-200.0,2004-03-13 14:00:00
13/03/2004,15:00:00,2.0,1240.0,108.0,,947.0,119.0,1049.0,116.0,1532.0,947.0,-200.0,-200.0,-200.0,2004-03-13 15:00:00
13/03/2004,16:00:00,-200.0,1306.0,111.0,,987.0,138.0,1004.0,124.0,1554.0,1078.0,-200.0,-200.0,-200.0,2004-03-13 16:00:00
13/03/2004,17:00:00,-200.0,1326.0,97.0,,1000.0,148.0,976.0,125.0,1602.0,1084.0,-200.0,-200.0,-200.0,2004-03-13 17:00:00
13/03/2004,18:00:00,-200.0,1473.0,191.0,,1163.0,227.0,831.0,148.0,1779.0,1395.0,-200.0,-200.0,-200.0,2004-03-13 18:00:00
13/03/2004,19:00:00,-200.0,1609.0,258.0,,1286.0,277.0,758.0,165.0,1922.0,1612.0,-200.0,-200.0,-200.0,2004-03-13 19:00:00
13/03/2004,20:00:00,-200.0,1611.0,284.0,,1274.0,279.0,754.0,161.0,1915.0,1697.0,-200.0,-200.0,-200.0,2004-03-13 20:00:00
13/03/2004,21:00:00,-200.0,1621.0,269.0,,1247.0,283.0,762.0,159.0,1860.0,1886.0,-200.0,-200.0,-200.0,2004-03-13 21:00:00
13/03/2004,22:00:00,-200.0,1444.0,180.0,,1089.0,214.0,844.0,143.0,1748.0,1624.0,-200.0,-200.0,-200.0,2004-03-13 22:00:00
13/03/2004,23:00:00,-200.0,1418.0,116.0,,1010.0,172.0,892.0,130.0,1603.0,1536.0,-200.0,-200.0,-200.0,2004-03-13 23:00:00
14/03/2004,00:00:00,-200.0,1534.0,93.0,,1013.0,190.0,889.0,129.0,1611.0,1535.0,-200.0,-200.0,-200.0,2004-03-14 00:00:00
14/03/2004,01:00:00,-200.0,1484.0,131.0,,1045.0,174.0,880.0,119.0,1624.0,1530.0,-200.0,-200.0,-200.0,2004-03-14 01:00:00
14/03/2004,02:00:00,-200.0,1367.0,92.0,,925.0,128.0,953.0,104.0,1543.0,1337.0,-200.0,-200.0,-200.0,2004-03-14 02:00:00
14/03/2004,03:00:00,-200.0,1344.0,132.0,,968.0,180.0,921.0,109.0,1620.0,1278.0,-200.0,-200.0,-200.0,2004-03-14 03:00:00
14/03/2004,04:00:00,-200.0,1130.0,56.0,,773.0,70.0,1130.0,82.0,1452.0,1051.0,-200.0,-200.0,-200.0,2004-03-14 04:00:00
14/03/2004,05:00:00,-200.0,1062.0,32.0,,691.0,53.0,1272.0,70.0,1377.0,929.0,-200.0,-200.0,-200.0,2004-03-14 05:00:00
14/03/2004,06:00:00,1.0,1076.0,29.0,,618.0,44.0,1395.0,63.0,1333.0,872.0,-200.0,-200.0,-200.0,2004-03-14 06:00:00
14/03/2004,07:00:00,-200.0,1028.0,27.0,,615.0,74.0,1384.0,67.0,1340.0,853.0,-200.0,-200.0,-200.0,2004-03-14 07:00:00
14/03/2004,08:00:00,-200.0,1155.0,36.0,,722.0,101.0,1225.0,84.0,1414.0,959.0,-200.0,-200.0,-200.0,2004-03-14 08:00:00
14/03/2004,09:00:00,-200.0,1235.0,57.0,,828.0,118.0,1055.0,83.0,1527.0,1093.0,-200.0,-200.0,-200.0,2004-03-14 09:00:00
14/03/2004,10:00:00,-200.0,1332.0,129.0,,923.0,144.0,952.0,98.0,1614.0,1225.0,-200.0,-200.0,-200.0,2004-03-14 10:00:00
14/03/2004,11:00:00,-200.0,1445.0,148.0,,1009.0,176.0,878.0,114.0,1696.0,1355.0,-200.0,-200.0,-200.0,2004-03-14 11:00:00
14/03/2004,12:00:00,-200.0,1416.0,145.0,,1002.0,161.0,907.0,119.0,1677.0,1262.0,-200.0,-200.0,-200.0,2004-03-14 12:00:00
14/03/2004,13:00:00,2.0,1281.0,93.0,,880.0,113.0,1084.0,104.0,1525.0,980.0,-200.0,-200.0,-200.0,2004-03-14 13:00:00
14/03/2004,14:00:00,-200.0,1207.0,84.0,,879.0,103.0,1104.0,102.0,1490.0,872.0,-200.0,-200.0,-200.0,2004-03-14 14:00:00
14/03/2004,15:00:00,-200.0,1258.0,99.0,,906.0,112.0,1081.0,107.0,1511.0,900.0,-200.0,-200.0,-200.0,2004-03-14 15:00:00
14/03/2004,16:00:00,3.0,1458.0,150.0,,1045.0,170.0,974.0,129.0,1646.0,1099.0,-200.0,-200.0,-200.0,2004-03-14 16:00:00
14/03/2004,17:00:00,-200.0,1438.0,156.0,,1051.0,180.0,943.0,128.0,1668.0,1206.0,-200.0,-200.0,-200.0,2004-03-14 17:00:00
14/03/2004,18:00:00,-200.0,1478.0,122.0,,1055.0,160.0,929.0,121.0,1671.0,1262.0,-200.0,-200.0,-200.0,2004-03-14 18:00:00
14/03/2004,19:00:00,-200.0,1808.0,262.0,,1312.0,261.0,753.0,157.0,1993.0,1698.0,-200.0,-200.0,-200.0,2004-03-14 19:00:00
14/03/2004,20:00:00,-200.0,1898.0,341.0,,1381.0,325.0,681.0,173.0,2103.0,1905.0,-200.0,-200.0,-200.0,2004-03-14 20:00:00
14/03/2004,21:00:00,-200.0,1560.0,214.0,,1140.0,217.0,784.0,146.0,1818.0,1648.0,-200.0,-200.0,-200.0,2004-03-14 21:00:00
14/03/2004,22:00:00,-200.0,1324.0,100.0,,940.0,146.0,924.0,121.0,1587.0,1423.0,-200.0,-200.0,-200.0,2004-03-14 22:00:00
14/03/2004,23:00:00,-200.0,1349.0,79.0,,933.0,152.0,933.0,119.0,1617.0,1349.0,-200.0,-200.0,-200.0,2004-03-14 23:00:00
15/03/2004,00:00:00,-200.0,1239.0,66.0,,872.0,104.0,985.0,99.0,1547.0,1250.0,-200.0,-200.0,-200.0,2004-03-15 00:00:00
15/03/2004,01:00:00,-200.0,1239.0,73.0,,853.0,106.0,1010.0,93.0,1543.0,1174.0,-200.0,-200.0,-200.0,2004-03-15 01:00:00
15/03/2004,02:00:00,-200.0,1224.0,66.0,,855.0,108.0,998.0,88.0,1566.0,1149.0,-200.0,-200.0,-200.0,2004-03-15 02:00:00
15/03/2004,03:00:00,-200.0,1078.0,44.0,,734.0,180.0,1128.0,109.0,1487.0,1021.0,-200.0,-200.0,-200.0,2004-03-15 03:00:00
15/03/2004,04:00:00,-200.0,1078.0,44.0,,711.0,66.0,1150.0,71.0,1468.0,1013.0,-200.0,-200.0,-200.0,2004-03-15 04:00:00
15/03/2004,05:00:00,1.0,1075.0,39.0,,703.0,88.0,1156.0,74.0,1464.0,1010.0,-200.0,-200.0,-200.0,2004-03-15 05:00:00
15/03/2004,06:00:00,-200.0,1157.0,51.0,,830.0,138.0,1030.0,80.0,1584.0,1083.0,-200.0,-200.0,-200.0,2004-03-15 06:00:00
15/03/2004,07:00:00,-200.0,1314.0,107.0,,966.0,228.0,897.0,89.0,1710.0,1235.0,-200.0,-200.0,-200.0,2004-03-15 07:00:00
15/03/2004,08:00:00,-200.0,1797.0,336.0,,1451.0,360.0,652.0,114.0,2323.0,1680.0,-200.0,-200.0,-200.0,2004-03-15 08:00:00
15/03/2004,09:00:00,-200.0,1961.0,618.0,,1701.0,478.0,537.0,149.0,2665.0,2184.0,-200.0,-200.0,-200.0,2004-03-15 09:00:00
15/03/2004,10:00:00,-200.0,1771.0,438.0,,1470.0,394.0,622.0,157.0,2262.0,1973.0,-200.0,-200.0,-200.0,2004-03-15 10:00:00
15/03/2004,11:00:00,-200.0,1564.0,334.0,,1300.0,319.0,710.0,155.0,2029.0,1798.0,-200.0,-200.0,-200.0,2004-03-15 11:00:00
15/03/2004,12:00:00,-200.0,1430.0,221.0,,1120.0,201.0,831.0,134.0,1783.0,1522.0,-200.0,-200.0,-200.0,2004-03-15 12:00:00
15/03/2004,13:00:00,-200.0,1417.0,207.0,,1146.0,171.0,830.0,119.0,1831.0,1404.0,-200.0,-200.0,-200.0,2004-03-15 13:00:00
15/03/2004,14:00:00,-200.0,1400.0,191.0,,1162.0,159.0,838.0,111.0,1829.0,1263.0,-200.0,-200.0,-200.0,2004-03-15 14:00:00
15/03/2004,15:00:00,-200.0,1317.0,185.0,,1053.0,153.0,926.0,104.0,1707.0,1137.0,-200.0,-200.0,-200.0,2004-03-15 15:00:00
15/03/2004,16:00:00,-200.0,1318.0,141.0,,1033.0,143.0,950.0,99.0,1675.0,1068.0,-200.0,-200.0,-200.0,2004-03-15 16:00:00
15/03/2004,17:00:00,-200.0,1445.0,214.0,,1141.0,156.0,857.0,110.0,1824.0,1252.0,-200.0,-200.0,-200.0,2004-03-15 17:00:00
15/03/2004,18:00:00,-200.0,1917.0,471.0,,1601.0,314.0,631.0,162.0,2447.0,1843.0,-200.0,-200.0,-200.0,2004-03-15 18:00:00
15/03/2004,19:00:00,8.0,2040.0,685.0,,1754.0,404.0,542.0,187.0,2679.0,2122.0,-200.0,-200.0,-200.0,2004-03-15 19:00:00
15/03/2004,20:00:00,-200.0,1895.0,538.0,,1573.0,320.0,565.0,165.0,2443.0,1992.0,-200.0,-200.0,-200.0,2004-03-15 20:00:00
15/03/2004,21:00:00,-200.0,1595.0,319.0,,1294.0,256.0,678.0,145.0,2058.0,1707.0,-200.0,-200.0,-200.0,2004-03-15 21:00:00
15/03/2004,22:00:00,-200.0,1439.0,224.0,,1159.0,193.0,764.0,125.0,1856.0,1494.0,-200.0,-200.0,-200.0,2004-03-15 22:00:00
15/03/2004,23:00:00,-200.0,1142.0,67.0,,852.0,89.0,1008.0,101.0,1547.0,1164.0,-200.0,-200.0,-200.0,2004-03-15 23:00:00
16/03/2004,00:00:00,-200.0,1304.0,155.0,,1019.0,127.0,852.0,103.0,1731.0,1272.0,-200.0,-200.0,-200.0,2004-03-16 00:00:00
16/03/2004,01:00:00,-200.0,1074.0,49.0,,784.0,79.0,1098.0,88.0,1483.0,1040.0,-200.0,-200.0,-200.0,2004-03-16 01:00:00
16/03/2004,02:00:00,-200.0,968.0,29.0,,640.0,43.0,1320.0,61.0,1386.0,867.0,-200.0,-200.0,-200.0,2004-03-16 02:00:00
16/03/2004,03:00:00,-200.0,929.0,25.0,,608.0,180.0,1376.0,109.0,1364.0,826.0,-200.0,-200.0,-200.0,2004-03-16 03:00:00
16/03/2004,04:00:00,-200.0,941.0,25.0,,626.0,59.0,1316.0,59.0,1373.0,840.0,-200.0,-200.0,-200.0,2004-03-16 04:00:00
16/03/2004,05:00:00,-200.0,937.0,17.0,,585.0,38.0,1412.0,52.0,1348.0,793.0,-200.0,-200.0,-200.0,2004-03-16 05:00:00
16/03/2004,06:00:00,-200.0,1017.0,27.0,,681.0,82.0,1246.0,64.0,1418.0,870.0,-200.0,-200.0,-200.0,2004-03-16 06:00:00
16/03/2004,07:00:00,-200.0,1171.0,50.0,,770.0,99.0,1162.0,70.0,1467.0,930.0,-200.0,-200.0,-200.0,2004-03-16 07:00:00
16/03/2004,08:00:00,-200.0,1541.0,218.0,,1185.0,263.0,770.0,97.0,1889.0,1407.0,-200.0,-200.0,-200.0,2004-03-16 08:00:00
16/03/2004,09:00:00,-200.0,1539.0,285.0,,1287.0,229.0,698.0,95.0,2055.0,1507.0,-200.0,-200.0,-200.0,2004-03-16 09:00:00
16/03/2004,10:00:00,-200.0,1735.0,437.0,,1431.0,396.0,628.0,150.0,2211.0,1843.0,-200.0,-200.0,-200.0,2004-03-16 10:00:00
16/03/2004,11:00:00,-200.0,1571.0,327.0,,1297.0,314.0,730.0,162.0,1973.0,1729.0,-200.0,-200.0,-200.0,2004-03-16 11:00:00
16/03/2004,12:00:00,-200.0,1452.0,283.0,,1250.0,217.0,776.0,154.0,1868.0,1583.0,-200.0,-200.0,-200.0,2004-03-16 12:00:00
16/03/2004,13:00:00,4.0,1579.0,366.0,,1359.0,252.0,724.0,161.0,1998.0,1671.0,-200.0,-200.0,-200.0,2004-03-16 13:00:00
16/03/2004,14:00:00,-200.0,1466.0,318.0,,1309.0,263.0,773.0,161.0,1897.0,1491.0,-200.0,-200.0,-200.0,2004-03-16 14:00:00
16/03/2004,15:00:00,-200.0,1280.0,228.0,,1136.0,180.0,893.0,128.0,1675.0,1240.0,-200.0,-200.0,-200.0,2004-03-16 15:00:00
16/03/2004,16:00:00,-200.0,1407.0,201.0,,1197.0,184.0,905.0,129.0,1759.0,1313.0,-200.0,-200.0,-200.0,2004-03-16 16:00:00
16/03/2004,17:00:00,-200.0,1389.0,199.0,,1173.0,190.0,898.0,133.0,1739.0,1363.0,-200.0,-200.0,-200.0,2004-03-16 17:00:00
16/03/2004,18:00:00,-200.0,1447.0,237.0,,1235.0,184.0,859.0,139.0,1778.0,1296.0,-200.0,-200.0,-200.0,2004-03-16 18:00:00
16/03/2004,19:00:00,-200.0,1551.0,261.0,,1271.0,181.0,800.0,137.0,1875.0,1432.0,-200.0,-200.0,-200.0,2004-03-16 19:00:00
16/03/2004,20:00:00,-200.0,1474.0,230.0,,1173.0,166.0,854.0,143.0,1776.0,1432.0,-200.0,-200.0,-200.0,2004-03-16 20:00:00
16/03/2004,21:00:00,-200.0,1800.0,349.0,,1426.0,317.0,700.0,177.0,2106.0,2034.0,-200.0,-200.0,-200.0,2004-03-16 21:00:00
16/03/2004,22:00:00,-200.0,1379.0,183.0,,1101.0,184.0,818.0,138.0,1710.0,1602.0,-200.0,-200.0,-200.0,2004-03-16 22:00:00
16/03/2004,23:00:00,-200.0,1201.0,88.0,,943.0,130.0,935.0,117.0,1560.0,1362.0,-200.0,-200.0,-200.0,2004-03-16 23:00:00
17/03/2004,00:00:00,-200.0,1205.0,85.0,,925.0,132.0,922.0,107.0,1547.0,1314.0,-200.0,-200.0,-200.0,2004-03-17 00:00:00
17/03/2004,01:00:00,-200.0,1072.0,47.0,,784.0,95.0,1066.0,90.0,1442.0,1114.0,-200.0,-200.0,-200.0,2004-03-17 01:00:00
17/03/2004,02:00:00,-200.0,998.0,34.0,,714.0,70.0,1169.0,79.0,1383.0,992.0,-200.0,-200.0,-200.0,2004-03-17 02:00:00
17/03/2004,03:00:00,-200.0,933.0,26.0,,625.0,180.0,1292.0,109.0,1332.0,884.0,-200.0,-200.0,-200.0,2004-03-17 03:00:00
17/03/2004,04:00:00,-200.0,883.0,17.0,,577.0,54.0,1396.0,60.0,1303.0,808.0,-200.0,-200.0,-200.0,2004-03-17 04:00:00
17/03/2004,05:00:00,-200.0,869.0,11.0,,554.0,28.0,1460.0,40.0,1268.0,667.0,-200.0,-200.0,-200.0,2004-03-17 05:00:00
17/03/2004,06:00:00,-200.0,891.0,18.0,,576.0,46.0,1417.0,53.0,1289.0,733.0,-200.0,-200.0,-200.0,2004-03-17 06:00:00
17/03/2004,07:00:00,-200.0,1173.0,84.0,,878.0,160.0,1038.0,84.0,1556.0,1052.0,-200.0,-200.0,-200.0,2004-03-17 07:00:00
17/03/2004,08:00:00,-200.0,1587.0,260.0,,1334.0,320.0,702.0,108.0,1999.0,1534.0,-200.0,-200.0,-200.0,2004-03-17 08:00:00
17/03/2004,09:00:00,-200.0,1852.0,534.0,,1696.0,377.0,553.0,127.0,2535.0,1931.0,-200.0,-200.0,-200.0,2004-03-17 09:00:00
17/03/2004,10:00:00,-200.0,1522.0,368.0,,1331.0,280.0,703.0,134.0,2026.0,1734.0,-200.0,-200.0,-200.0,2004-03-17 10:00:00
17/03/2004,11:00:00,-200.0,1438.0,200.0,,1161.0,221.0,819.0,135.0,1782.0,1595.0,-200.0,-200.0,-200.0,2004-03-17 11:00:00
17/03/2004,12:00:00,-200.0,1393.0,145.0,,1067.0,210.0,905.0,142.0,1654.0,1490.0,-200.0,-200.0,-200.0,2004-03-17 12:00:00
17/03/2004,13:00:00,-200.0,1452.0,188.0,,1152.0,204.0,861.0,153.0,1747.0,1508.0,-200.0,-200.0,-200.0,2004-03-17 13:00:00
17/03/2004,14:00:00,-200.0,1389.0,152.0,,1108.0,161.0,887.0,123.0,1712.0,1334.0,-200.0,-200.0,-200.0,2004-03-17 14:00:00
17/03/2004,15:00:00,2.0,1207.0,103.0,,994.0,135.0,1013.0,104.0,1520.0,1045.0,-200.0,-200.0,-200.0,2004-03-17 15:00:00
17/03/2004,16:00:00,-200.0,1365.0,193.0,,1154.0,186.0,940.0,129.0,1679.0,1221.0,-200.0,-200.0,-200.0,2004-03-17 16:00:00
